Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"C01",Absolute Quantification,"ABS","RA1-B",Ch1Unknown,"16S","Manual",106.3,QX200 ddPCR EvaGreen Supermix,2126,,,112,103.5,1374,14525,1373,1,27,14498,106,15899,,,,,,,,0.98,,,1.05,0.91,49.5,,,51.4,47.6,1,1,9624,14492,8696.5,9197.4,"",,,,110,0,,,,,,,1.018,0.943,,,50.5,48.6,
"C02",Absolute Quantification,"ABS","RB3-B",Ch1Unknown,"16S","Manual",24.5,QX200 ddPCR EvaGreen Supermix,490,,,27.1,23.1,320,15234,320,0,10,15224,24.5,15554,,,,,,,,0.97,,,1.12,0.82,49.2,,,53.1,45.4,1,1,9624,14136,8164.5,8287.4,"",,,,26,0,,,,,,,1.05,0.89,,,51.2,47.3,
"C03",Absolute Quantification,"ABS","TA2-B",Ch1Unknown,"16S","Manual",185,QX200 ddPCR EvaGreen Supermix,3700,,,192,182,2530,14837,2530,0,71,14766,185,17367,,,,,,,,0.97,,,1.02,0.92,49.2,,,50.6,47.9,1,1,9624,13811,7660.5,8556.4,"",,,,190,0,,,,,,,0.998,0.943,,,49.9,48.6,
"C04",Absolute Quantification,"ABS","TB3-B",Ch1Unknown,"16S","Manual",55.6,QX200 ddPCR EvaGreen Supermix,1112,,,59.6,53.5,736,15214,736,0,25,15189,55.6,15950,,,,,,,,0.97,,,1.06,0.87,49.1,,,51.7,46.6,1,1,9624,13518,7344,7628.9,"",,,,58,0,,,,,,,1.016,0.916,,,50.4,47.9,
"C05",Absolute Quantification,"ABS","TC3-B",Ch1Unknown,"16S","Manual",13.8,QX200 ddPCR EvaGreen Supermix,276,,,15.8,12.8,188,15907,187,1,11,15896,13.7,16095,,,,,,,,,,,,,,,,,,1,1,9624,13214,6978.5,7051.3,"",,,,15,0,,,,,,,,,,,,,
"D01",Absolute Quantification,"ABS","RA2-B",Ch1Unknown,"16S","Manual",12.4,QX200 ddPCR EvaGreen Supermix,248,,,14.4,11.4,156,14715,156,0,4,14711,12.4,14871,,,,,,,,0.97,,,1.19,0.76,49,,,55,44,1,1,9624,14482,8623.4,8684.9,"",,,,13,0,,,,,,,1.08,0.87,,,52.2,46.6,
"D02",Absolute Quantification,"ABS","RB1-IN",Ch1Unknown,"16S","Manual",7.1,QX200 ddPCR EvaGreen Supermix,142,,,8.5,6.4,98,16303,98,0,2,16301,7.05,16401,,,,,,,,0.98,,,1.25,0.71,49,,,56,43,1,1,9624,13950,8076.8,8111.9,"",,,,7.8,0,,,,,,,1.12,0.84,,,53,45.9,
"D03",Absolute Quantification,"ABS","TA3-B",Ch1Unknown,"16S","Manual",122.5,QX200 ddPCR EvaGreen Supermix,2450,,,128.5,119.5,1627,14820,1627,0,91,14729,123,16447,,,,,,,,0.94,,,1.01,0.88,48.6,,,50.3,46.9,1,1,9624,13561,7650.4,8235,"",,,,130,0,,,,,,,0.977,0.911,,,49.4,47.7,
"D04",Absolute Quantification,"ABS","TE Buffer (1:1000)",Ch1Negative Control,"16S","Manual",0.95,QX200 ddPCR EvaGreen Supermix,19,,,1.57,0.71,13,16129,13,0,16,16113,0.948,16142,,,,,,,,,,,,,,,,,,1,1,9624,13624,7339.7,7344.8,"",,,,1.2,0,,,,,,,,,,,,,
"D05",Absolute Quantification,"ABS","TE Buffer (1:100)",Ch1Negative Control,"16S","Manual",0.71,QX200 ddPCR EvaGreen Supermix,14.2,,,1.25,0.51,10,16542,10,0,7,16535,0.711,16552,,,,,,,,,,,,,,,,,,1,1,9624,13863,7081.8,7085.9,"",,,,0.96,0,,,,,,,,,,,,,
"E01",Absolute Quantification,"ABS","RA3-B",Ch1Unknown,"16S","Manual",42.1,QX200 ddPCR EvaGreen Supermix,842,,,45.6,40.2,531,14590,531,0,4,14586,42.1,15121,,,,,,,,0.99,,,1.11,0.87,49.8,,,52.8,46.8,1,1,9624,14482,8554.8,8762.9,"",,,,44,0,,,,,,,1.05,0.93,,,51.3,48.3,
"E02",Absolute Quantification,"ABS","RB2-IN",Ch1Unknown,"16S","Manual",18.8,QX200 ddPCR EvaGreen Supermix,376,,,21.1,17.6,252,15654,252,0,9,15645,18.8,15906,,,,,,,,0.97,,,1.13,0.8,49.1,,,53.4,44.8,1,1,9624,13980,8024.3,8118.7,"",,,,20,0,,,,,,,1.05,0.88,,,51.3,46.9,
"E03",Absolute Quantification,"ABS","TA1-IN",Ch1Unknown,"16S","Manual",75.6,QX200 ddPCR EvaGreen Supermix,1512,,,80.4,73.2,994,14968,994,0,45,14923,75.6,15962,,,,,,,,0.96,,,1.04,0.87,48.9,,,51,46.7,1,1,9624,14080,7651.5,8051.8,"",,,,78,0,,,,,,,0.998,0.913,,,50,47.7,
"E04",Absolute Quantification,"ABS","TB1-IN",Ch1Unknown,"16S","Manual",30.3,QX200 ddPCR EvaGreen Supermix,606,,,33.2,28.8,411,15779,411,0,20,15759,30.3,16190,,,,,,,,0.95,,,1.08,0.82,48.8,,,52.2,45.4,1,1,9624,13520,7334.1,7491.2,"",,,,32,0,,,,,,,1.02,0.89,,,50.5,47.1,
"E05",Absolute Quantification,"ABS","RA3-IN (1:100)",Ch1Unknown,"16S","Manual",154,QX200 ddPCR EvaGreen Supermix,3080,,,161,151,1961,13991,1961,0,62,13929,154,15952,,,,,,,,0.97,,,1.03,0.91,49.2,,,50.7,47.6,1,1,9624,13764,7046.7,7872.4,"Absolute Quantification Experiment",,,,160,0,,,,,,,0.998,0.937,,,50,48.4,
"F01",Absolute Quantification,"ABS","RA1-IN",Ch1Unknown,"16S","Manual",14.6,QX200 ddPCR EvaGreen Supermix,292,,,16.7,13.6,196,15688,196,0,6,15682,14.6,15884,,,,,,,,0.97,,,1.16,0.78,49.2,,,54.2,44.3,1,1,9624,14352,8470.4,8543,"",,,,16,0,,,,,,,1.07,0.87,,,51.7,46.7,
"F02",Absolute Quantification,"ABS","RB3-IN",Ch1Unknown,"16S","Manual",8.6,QX200 ddPCR EvaGreen Supermix,172,,,10.2,7.8,114,15533,114,0,7,15526,8.6,15647,,,,,,,,0.94,,,1.18,0.7,49,,,55,42,1,1,9624,14124,7991.5,8036.2,"",,,,9.4,0,,,,,,,1.06,0.82,,,51.8,45.2,
"F03",Absolute Quantification,"ABS","TA1-IN",Ch1Unknown,"16S","Manual",54,QX200 ddPCR EvaGreen Supermix,1080,,,58,52,716,15231,716,0,50,15181,54,15947,,,,,,,,0.93,,,1.03,0.84,48.3,,,50.8,45.7,1,1,9624,13546,7589.8,7857.2,"",,,,56,0,,,,,,,0.982,0.885,,,49.6,47,
"F04",Absolute Quantification,"ABS","TB2-IN",Ch1Unknown,"16S","Manual",25.3,QX200 ddPCR EvaGreen Supermix,506,,,28,23.9,337,15532,337,0,16,15516,25.3,15869,,,,,,,,0.95,,,1.1,0.81,48.8,,,52.6,45.1,1,1,9624,13630,7271.7,7406.7,"",,,,27,0,,,,,,,1.03,0.88,,,50.7,46.9,
"F05",Absolute Quantification,"ABS","RB1-IN (1:100)",Ch1Unknown,"16S","Manual",31.6,QX200 ddPCR EvaGreen Supermix,632,,,34.6,30,421,15474,421,0,27,15447,31.6,15895,,,,,,,,0.94,,,1.06,0.81,48.4,,,51.7,45.1,1,1,9624,13434,7039,7208.4,"",,,,33,0,,,,,,,1,0.88,,,50.1,46.7,
"G01",Absolute Quantification,"ABS","RA2-IN",Ch1Unknown,"16S","Manual",10,QX200 ddPCR EvaGreen Supermix,200,,,11.7,9.1,129,15097,129,0,6,15091,10,15226,,,,,,,,0.96,,,1.19,0.72,49,,,55,43,1,1,9624,13939,8414.1,8460.9,"",,,,11,0,,,,,,,1.07,0.84,,,51.9,45.8,
"G02",Absolute Quantification,"ABS","RC1-B",Ch1Unknown,"16S","Manual",0.5,QX200 ddPCR EvaGreen Supermix,10,,,0.98,0.34,7,16316,0,7,0,16316,0,16323,,,,,,,,,,,,,,,,,,1,1,9624,13991,7958.9,7961.5,"",,,,0.72,0,,,,,,,,,,,,,
"G03",Absolute Quantification,"ABS","TA2-IN",Ch1Unknown,"16S","Manual",67.2,QX200 ddPCR EvaGreen Supermix,1344,,,71.7,65,863,14670,863,0,61,14609,67.2,15533,,,,,,,,0.93,,,1.02,0.85,48.2,,,50.6,45.9,1,1,9624,13619,7546,7883.4,"",,,,70,0,,,,,,,0.976,0.888,,,49.4,47.1,
"G04",Absolute Quantification,"ABS","TB3-IN",Ch1Unknown,"16S","Manual",48.1,QX200 ddPCR EvaGreen Supermix,962,,,51.8,46.2,648,15516,647,1,24,15492,48.1,16164,,,,,,,,0.97,,,1.07,0.86,49.1,,,51.8,46.4,1,1,9624,13541,7236.4,7489.1,"",,,,50,0,,,,,,,1.02,0.91,,,50.5,47.7,
"G05",Absolute Quantification,"ABS","RB2-IN (1:100)",Ch1Unknown,"16S","Manual",97.5,QX200 ddPCR EvaGreen Supermix,1950,,,102.7,94.8,1324,15330,1324,0,61,15269,97.5,16654,,,,,,,,0.95,,,1.03,0.88,48.8,,,50.7,46.9,1,1,9624,13465,6982,7497.4,"",,,,100,0,,,,,,,0.991,0.917,,,49.8,47.9,
"H01",Absolute Quantification,"ABS","RA3-IN",Ch1Unknown,"16S","Manual",13.3,QX200 ddPCR EvaGreen Supermix,266,,,15.2,12.3,179,15800,178,1,2,15798,13.2,15979,,,,,,,,,,,,,,,,,,1,1,9624,14178,8275.5,8341.6,"",,,,14,0,,,,,,,,,,,,,
"H02",Absolute Quantification,"ABS","RC2-B",Ch1Unknown,"16S","Manual",10.4,QX200 ddPCR EvaGreen Supermix,208,,,12.1,9.5,142,16068,142,0,8,16060,10.4,16210,,,,,,,,0.95,,,1.16,0.73,49,,,54,43,1,1,9624,13795,7813.7,7866.1,"",,,,11,0,,,,,,,1.06,0.84,,,51.5,45.7,
"H03",Absolute Quantification,"ABS","TA3-IN",Ch1Unknown,"16S","Manual",108.2,QX200 ddPCR EvaGreen Supermix,2164,,,114,105.2,1329,13799,1329,0,49,13750,108,15128,,,,,,,,0.96,,,1.04,0.89,49.1,,,50.9,47.2,1,1,9624,13720,7458,8008.1,"",,,,110,0,,,,,,,1,0.926,,,50,48.1,
"H04",Absolute Quantification,"ABS","TC1-B",Ch1Unknown,"16S","Manual",29.8,QX200 ddPCR EvaGreen Supermix,596,,,32.7,28.3,408,15893,408,0,17,15876,29.8,16301,,,,,,,,0.96,,,1.09,0.83,49,,,52.4,45.6,1,1,9624,13614,7189.7,7350.5,"",,,,31,0,,,,,,,1.03,0.89,,,50.7,47.2,
"H05",Absolute Quantification,"ABS","RB3-IN (1:100)",Ch1Unknown,"16S","Manual",54.6,QX200 ddPCR EvaGreen Supermix,1092,,,58.6,52.6,721,15179,721,0,30,15149,54.6,15900,,,,,,,,0.96,,,1.06,0.86,49,,,51.5,46.4,1,1,9624,13480,6920.8,7218.2,"",,,,57,0,,,,,,,1.01,0.91,,,50.3,47.7,
